0	1	-1.1853416e-01
0	2	8.0905078e-02
0	3	2.8908540e-03
0	4	-7.6473599e-02
0	5	2.0821658e-01
0	6	-1.8839882e-01
0	7	-2.0192784e-01
0	8	4.6368238e-02
0	9	4.3166134e-01
0	10	4.4202733e-01
0	11	-1.2955827e-01
0	12	-1.5048209e-01
0	13	-8.9083500e-02
0	14	4.9624536e-02
0	15	-3.8276814e-01
1	2	-5.5834737e-01
1	3	2.7881044e-01
1	4	2.5526785e-02
1	5	2.0118588e-01
1	6	2.8274276e-01
1	7	-3.0131293e-01
1	8	4.4327296e-01
1	9	4.3620731e-03
1	10	2.0829618e-01
1	11	3.0918417e-01
1	12	-1.3129133e-01
1	13	1.7562430e-01
1	14	2.3930113e-02
1	15	-3.7608585e-01
2	3	-2.0914062e-01
2	4	-1.9381825e-01
2	5	-3.0597576e-01
2	6	-4.2698608e-01
2	7	2.5970219e-01
2	8	6.0856400e-02
2	9	2.6426505e-01
2	10	-4.9109598e-01
2	11	1.8406997e-01
2	12	2.9307287e-02
2	13	-1.8443060e-01
2	14	-3.1162531e-01
2	15	5.9403393e-02
3	4	-8.8990221e-03
3	5	1.6641219e-01
3	6	1.4406152e-01
3	7	-1.8849524e-01
3	8	1.6334531e-01
3	9	-1.2661953e-01
3	10	3.3297226e-01
3	11	-4.7288184e-03
3	12	2.4749250e-01
3	13	4.2186489e-02
3	14	8.2173329e-02
3	15	-2.3021148e-01
4	5	3.4180687e-02
4	6	3.0074942e-01
4	7	-5.7167383e-03
4	8	-6.0312598e-02
4	9	-1.2479245e-01
4	10	-1.0870495e-01
4	11	-1.9992902e-01
4	12	-5.8047119e-02
4	13	-3.1869067e-02
4	14	-4.9409684e-02
4	15	-1.1482929e-01
5	6	1.4033540e-01
5	7	-1.3081013e-01
5	8	2.2410894e-01
5	9	6.9806180e-03
5	10	6.9237042e-01
5	11	3.6175181e-03
5	12	-6.6251280e-02
5	13	-6.0529960e-02
5	14	1.8772706e-01
5	15	-2.2847167e-01
6	7	-5.2156753e-01
6	8	4.7189742e-01
6	9	-4.0213033e-01
6	10	1.9275997e-02
6	11	-2.6333177e-01
6	12	3.2281845e-01
6	13	1.8383902e-01
6	14	4.5014887e-01
6	15	-1.2526146e-01
7	8	1.0679705e-01
7	9	1.6347899e-01
7	10	-4.0012500e-01
7	11	1.0538592e-01
7	12	1.3196055e-01
7	13	-2.7331275e-01
7	14	-2.2983274e-01
7	15	4.2834552e-01
8	9	2.8915235e-01
8	10	2.0978422e-01
8	11	1.3181837e-01
8	12	-1.7433918e-03
8	13	-1.4481578e-01
8	14	-5.9228378e-02
8	15	-1.4212072e-01
9	10	-3.2745882e-02
9	11	-1.8601384e-01
9	12	-1.5065907e-01
9	13	-4.5418375e-01
9	14	-2.0183000e-01
9	15	-2.9540639e-01
10	11	1.0598819e-01
10	12	-1.9754526e-01
10	13	-6.1607837e-02
10	14	4.9875609e-01
10	15	-6.1776225e-01
11	12	9.3894344e-02
11	13	-3.5326705e-02
11	14	-7.3262988e-02
11	15	9.1341838e-02
12	13	-2.3734485e-01
12	14	9.0180145e-02
12	15	2.1402887e-01
13	14	1.6491366e-01
13	15	3.3174930e-01
14	15	2.4026296e-03
